Time;Ed0Gnd;Ed0305;Ed0313;Ed0320;Ed0340;Ed0380;Ed0395;Ed0PAR
10,43944;0,00004185;0,000168715;0,003293964;0,01167417;0,03960386;0,0592458;0,06351647;0,000187748
10,445;0,0000417;0,000170993;0,003354338;0,01183634;0,04000437;0,05999421;0,06440532;0,000194056
10,45056;0,00004115;0,000173429;0,003415096;0,01200528;0,04041918;0,06066244;0,06518048;0,000199109
10,45611;0,00004145;0,000176107;0,003483566;0,01219362;0,04086332;0,06134661;0,06595004;0,000203208
10,46167;0,00004175;0,000178728;0,003557705;0,0124002;0,04137949;0,06199178;0,06657485;0,000203594
10,46722;0,0000421;0,000181639;0,003632932;0,01262499;0,04193152;0,06262063;0,06713477;0,000202457
10,47278;0,0000417;0,000184553;0,003709154;0,01283233;0,04240944;0,06290237;0,06714388;0,000192566
10,47833;0,00004235;0,000187386;0,00378277;0,01303024;0,04289944;0,06326331;0,06726511;0,00018229
10,48389;0,00004155;0,000189945;0,003855387;0,0132282;0,04330649;0,06310869;0,06653782;0,000160977
10,48944;0,00004215;0,000192715;0,003931034;0,01343466;0,04385708;0,06385294;0,06725071;0,000156942
10,495;0,00004235;0,000195924;0,004011884;0,0136659;0,04462425;0,06625679;0,07065587;0,00019214
10,50056;0,0000431;0,000198879;0,004087028;0,01386495;0,04518411;0,0675609;0,07238492;0,000207007
10,50611;0,00004215;0,00020193;0,00416355;0,01406879;0,0457043;0,06836651;0,07323328;0,000208127
10,51167;0,00004215;0,000204996;0,004245357;0,01429149;0,04633044;0,06964394;0,0748445;0,000219227
10,51722;0,00004295;0,000208335;0,004326598;0,01451772;0,0469284;0,07089038;0,0763855;0,000230802
10,52278;0,0000437;0,000211481;0,004399277;0,01470322;0,04738713;0,07171799;0,07736254;0,000235678
10,52833;0,00004415;0,000214858;0,004473659;0,01488998;0,04782171;0,07245022;0,0781998;0,000239266
10,53389;0,0000433;0,000218392;0,004553623;0,0150923;0,04831437;0,07323483;0,07907718;0,000242205
10,53944;0,00004315;0,000221928;0,004634529;0,01529432;0,04881464;0,07399564;0,07993445;0,000245303
10,545;0,00004335;0,000225549;0,004710889;0,01549273;0,04926166;0,07466084;0,08064363;0,000247638
10,55056;0,0000426;0,000228977;0,004782915;0,01566925;0,04963105;0,07509153;0,08103791;0,000247043
10,55611;0,00004325;0,000232488;0,004855271;0,01582494;0,04993179;0,0750604;0,08072249;0,000237186
10,56167;0,0000427;0,000236086;0,004926769;0,01599452;0,05025661;0,07530873;0,08081362;0,000231381
10,5675;0,000043;0,000239851;0,005003518;0,01618599;0,05078693;0,07672695;0,08273167;0,000246601
10,57278;4,31E-05;0,000243698;0,005076555;0,01637249;0,05120421;0,07763284;0,08390588;0,000254939
10,57833;0,0000425;0,00024745;0,005147309;0,01653991;0,0515413;0,07809446;0,08438441;0,000254899
10,58389;0,0000423;0,000251343;0,005220153;0,01670015;0,05192816;0,07893076;0,08544907;0,000263792
10,58944;0,00004195;0,000255192;0,005291223;0,01687065;0,05224378;0,07937279;0,08594893;0,000265698
10,595;0,00004205;0,00025924;0,005362698;0,01703199;0,05256191;0,07987861;0,08650157;0,000267807
10,60056;0,0000425;0,00026356;0,005437059;0,01720126;0,05287631;0,08031293;0,08698294;0,0002694
10,60611;0,00004225;0,000267971;0,005514034;0,01736997;0,05321127;0,08065747;0,08729804;0,000269306
10,61167;0,0000416;0,000272343;0,005592674;0,01754447;0,05355787;0,08110275;0,08776322;0,000270219
10,61722;0,00004225;0,000276507;0,005669215;0,01772526;0,05387572;0,08137693;0,08793431;0,000267821
10,62278;0,0000431;0,000281134;0,005752057;0,01791101;0,05426444;0,08192689;0,08855001;0,000270451
10,62833;0,00004185;0,000285975;0,005838936;0,01810835;0,05467415;0,08249671;0,08916371;0,00027316
10,63389;0,0000428;0,000291009;0,005930277;0,01832145;0,05513734;0,08315292;0,08989882;0,000276468
10,63944;0,0000436;0,00029621;0,006024155;0,01854192;0,05557263;0,08350245;0,09012787;0,000274385
10,645;0,00004445;0,000301151;0,00611457;0,01874951;0,0558907;0,08319275;0,08936419;0,000261584
10,65056;0,00004435;0,000306376;0,006205454;0,01895726;0,05621811;0,08293694;0,0886583;0,000248068
10,65611;0,00004375;0,000311526;0,00630073;0,01917948;0,05665556;0,08326213;0,08879876;0,000242969
10,66167;0,0000437;0,000316464;0,006392298;0,01938104;0,05702215;0,0832551;0,08844098;0,00023309
10,66722;0,00004335;0,00032208;0,006489248;0,01960182;0,05748663;0,08369441;0,08876378;0,000229588
10,67278;0,00004415;0,000327669;0,006588725;0,01984849;0,05812542;0,08505913;0,09044764;0,000239456
10,67833;0,00004425;0,000333501;0,006690502;0,02010909;0,05885722;0,08680008;0,09316697;0,000259761
10,68389;0,00004485;0,000338827;0,006784587;0,02032233;0,05937546;0,08791775;0,09435311;0,000266007
10,68944;0,00004435;0,000344713;0,006883901;0,02055019;0,05999592;0,08940647;0,09626268;0,000278611
10,695;0,0000428;0,000350536;0,00697902;0,02077027;0,06054551;0,09067152;0,09788877;0,000289556
10,70056;0,0000441;0,000356241;0,007069076;0,02096437;0,06096593;0,09136683;0,09864602;0,000292184
10,70611;0,00004385;0,000362011;0,007157241;0,02114897;0,06131742;0,09176354;0,09901051;0,000291316
10,71167;0,00004355;0,000367956;0,007246302;0,0213321;0,06167703;0,09217986;0,09938552;0,000290995
10,71722;0,00004355;0,000374025;0,007336426;0,02153047;0,06212534;0,09304469;0,1004194;0,00029606
10,72278;0,0000434;0,000380274;0,00743122;0,02174309;0,06259614;0,09390616;0,1014538;0,000300502
10,72833;0,00004435;0,000386539;0,007529293;0,02196741;0,06307781;0,0947284;0,1024102;0,000304096
10,73389;0,00004465;0,00039315;0,007627259;0,02218305;0,06352065;0,09538047;0,103064;0,000305221
10,73944;0,0000442;0,000400059;0,007730258;0,02241413;0,06402495;0,09622215;0,1039801;0,000308178
10,745;0,00004465;0,000407147;0,007842376;0,02266712;0,06465462;0,09753348;0,1055799;0,000317492
10,75056;0,00004345;0,000414337;0,007949039;0,02290022;0,0651467;0,09825445;0,1063588;0,000320578
10,75611;0,00004325;0,000421246;0,00804993;0,02311488;0,06557905;0,09877288;0,1068462;0,000320659
10,76167;0,00004295;0,00042851;0,008154691;0,02334213;0,06610557;0,09968349;0,1079075;0,000325443
10,76722;0,0000421;0,000435747;0,008259453;0,02357274;0,06663553;0,1007264;0,1091767;0,000331339
10,77278;0,0000421;0,000442901;0,008363741;0,0238078;0,0671381;0,1016692;0,1102864;0,000336077
10,77833;0,00004215;0,000450227;0,008465577;0,02403362;0,06762933;0,1025716;0,1113581;0,000340806
10,78389;0,00004455;0,000457674;0,008565493;0,02425677;0,06812277;0,1034676;0,1123856;0,000344812
10,78944;0,00004515;0,000465256;0,008668205;0,02447196;0,06856663;0,1040688;0,1130158;0,00034622
10,795;0,00004385;0,000472917;0,008778651;0,0246969;0,06903744;0,1048155;0,1138276;0,000348494
10,80056;0,0000439;0,000481247;0,008890848;0,02493769;0,06954591;0,1056986;0,1148554;0,000352749
10,80611;0,00004405;0,000489556;0,009000899;0,0251956;0,0699986;0,1062202;0,1153586;0,000353354
10,81167;0,00004445;0,000497901;0,009116554;0,02544683;0,07053504;0,1070312;0,1162245;0,000355604
10,81722;0,0000439;0,000506404;0,009226596;0,02567736;0,07098493;0,1075637;0,1166885;0,000355699
10,82278;0,00004405;0,000514697;0,009330136;0,02586815;0,07123571;0,1072312;0,1159732;0,000345904
10,82833;0,00004425;0,000523438;0,009448441;0,02610567;0,07176927;0,1080588;0,1168662;0,000348006
10,83389;0,0000441;0,000532331;0,009572438;0,02638215;0,0724624;0,1096346;0,1188531;0,0003607
10,83944;0,00004295;0,00054136;0,009686783;0,02662259;0,07298151;0,1105044;0,1198152;0,000363888
10,845;0,00004285;0,000550189;0,009797346;0,0268499;0,07343334;0,1111206;0,1204542;0,000365195
10,85056;0,00004285;0,000558766;0,009904709;0,02706193;0,07384944;0,1116534;0,1209989;0,000366248
10,85611;0,0000441;0,000568039;0,01001673;0,02728658;0,07436467;0,1125837;0,1220683;0,0003708
10,86167;0,0000452;0,000577259;0,01013517;0,02754767;0,07496127;0,1138566;0,1236141;0,000377802
10,86722;0,0000447;0,000586732;0,01024611;0,02778823;0,07546708;0,1147695;0,1246837;0,00038235
10,87278;0,00004405;0,000596267;0,01036724;0,02804415;0,07601681;0,1157437;0,1258035;0,000386841
10,87833;0,00004365;0,000606361;0,0104945;0,02829582;0,07656496;0,1165767;0,1267118;0,000389218
10,88389;0,00004405;0,00061584;0,01060438;0,02850674;0,07686477;0,1165622;0,1264688;0,000384823
10,88944;0,00004345;0,000625869;0,01071576;0,02871562;0,077187;0,1166283;0,1263785;0,000382654
10,895;0,0000437;0,000635103;0,01081003;0,02886739;0,07712597;0,115175;0,1241645;0,000361554
10,90056;0,00004325;0,000645319;0,01092692;0,02911228;0,07757177;0,1155963;0,1244574;0,000357585
